年度,中国,韓国,ASEAN 10ｹ国,米国,EU 27ｹ国
1995,12.4,4.6,11.7,18.4,11.2
1996,14.3,4.9,13.7,20.8,12.2
1997,16.1,4.9,14.5,23.3,13.4
1998,15.3,3.6,11.3,24.2,14.4
1999,15.0,4.4,11.4,22.2,13.3
2000,18.1,5.5,13.8,23.1,13.5
2001,18.5,5.2,13.2,22.4,13.2
2002,21.0,5.5,13.4,22.1,13.1
2003,24.2,6.1,13.9,20.2,14.0
2004,28.5,7.2,15.2,20.5,15.7
2005,31.8,7.8,16.4,21.9,16.1
2006,36.5,9.0,18.2,24.8,17.9
2007,40.2,9.6,20.5,25.2,20.1
2008,39.2,9.2,21.8,22.3,18.7
2009,29.9,6.5,14.8,14.2,12.3
2010,37.0,8.0,18.7,16.3,13.4
2011,37.0,8.4,19.8,15.9,14.0
2012,35.5,8.1,20.6,17.3,13.1
2013,40.5,9,22.3,19.7,14.6
2014,43.6,9.0,23.3,21.2,15.8
